Wavelength (nm),MMS1,MMS2,JSC Mars-1,MGS-1 Prototype
835,0.321021,0.317923,0.331501,0.236858
836,0.320884,0.317821,0.331621,0.236711
837,0.320783,0.317742,0.331724,0.23655
838,0.320671,0.317649,0.331827,0.236382
839,0.320534,0.317534,0.331942,0.236213
840,0.320412,0.317431,0.332074,0.236045
841,0.320322,0.317379,0.332192,0.235875
842,0.320238,0.317349,0.3323,0.235696
843,0.320123,0.317289,0.332408,0.235507
844,0.320052,0.317243,0.332479,0.235339
845,0.319985,0.317202,0.332536,0.235205
846,0.319885,0.317164,0.332593,0.235089
847,0.319783,0.317187,0.332662,0.234949
848,0.319693,0.317192,0.332754,0.23479
849,0.319626,0.317169,0.332851,0.234616
850,0.319585,0.317157,0.332912,0.234434
851,0.319538,0.317126,0.33299,0.234256
852,0.319499,0.317126,0.333085,0.234085
853,0.319479,0.317187,0.333177,0.233911
854,0.319455,0.317217,0.333231,0.233724
855,0.319431,0.317256,0.333282,0.233539
856,0.319419,0.317314,0.333346,0.23337
857,0.319442,0.317356,0.333416,0.233224
858,0.319444,0.317377,0.33349,0.233088
859,0.319442,0.317398,0.333558,0.232958
860,0.319475,0.317451,0.33361,0.232826
861,0.319495,0.317518,0.333659,0.232665
862,0.319537,0.317619,0.333715,0.232491
863,0.319616,0.317749,0.333783,0.232314
864,0.319697,0.317872,0.333871,0.232114
865,0.319771,0.317979,0.333912,0.231917
866,0.319856,0.318096,0.333938,0.231735
867,0.319952,0.318236,0.334002,0.231553
868,0.320071,0.318385,0.334067,0.231363
869,0.320201,0.318549,0.33412,0.23118
870,0.320327,0.318731,0.334166,0.231013
871,0.320441,0.318884,0.334245,0.230831
872,0.320583,0.319069,0.334325,0.23066
873,0.320735,0.319268,0.334389,0.2305
874,0.320842,0.319404,0.334444,0.230338
875,0.320969,0.319575,0.334521,0.230162
876,0.32112,0.319762,0.334583,0.229979
877,0.321297,0.319952,0.334613,0.229811
878,0.321472,0.320167,0.334659,0.229635
879,0.321652,0.320395,0.33469,0.22948
880,0.321849,0.320632,0.334717,0.229344
881,0.322088,0.320895,0.334808,0.229197
882,0.322316,0.32115,0.334859,0.229046
883,0.322549,0.321417,0.334893,0.228891
884,0.322815,0.32172,0.334958,0.228732
885,0.323091,0.322018,0.334997,0.228582
886,0.32337,0.322307,0.33506,0.228417
887,0.323645,0.322598,0.335155,0.228231
888,0.323918,0.322928,0.335228,0.228056
889,0.32421,0.323264,0.335287,0.227864
890,0.324517,0.323596,0.335336,0.22768
891,0.324819,0.323917,0.335373,0.227525
892,0.325177,0.324272,0.335438,0.227352
893,0.325534,0.324635,0.335485,0.227175
894,0.325864,0.324998,0.335502,0.227007
895,0.326203,0.325393,0.335547,0.226848
896,0.32659,0.325816,0.335626,0.226695
897,0.32699,0.326229,0.3357,0.226543
898,0.32736,0.326605,0.335736,0.226389
899,0.327755,0.327021,0.335789,0.2262
900,0.328193,0.327459,0.335866,0.226019
901,0.328668,0.327909,0.335963,0.225867
902,0.329131,0.328388,0.336062,0.22571
903,0.329604,0.328872,0.336151,0.225562
904,0.330097,0.32936,0.336241,0.225426
905,0.330612,0.329858,0.336349,0.225291
906,0.331123,0.330353,0.336438,0.225127
907,0.331628,0.330868,0.336527,0.224982
908,0.332146,0.331414,0.336615,0.224867
909,0.332737,0.331977,0.336665,0.22473
910,0.3333,0.332562,0.33675,0.224584
911,0.333837,0.333143,0.336872,0.22444
912,0.334398,0.333702,0.337011,0.224307
913,0.334996,0.334302,0.337099,0.224156
914,0.335604,0.334919,0.337172,0.224003
915,0.336212,0.335538,0.33726,0.223858
916,0.336845,0.336181,0.337379,0.223727
917,0.337476,0.336844,0.337499,0.223568
918,0.338112,0.337532,0.337613,0.223416
919,0.338765,0.338244,0.337723,0.223313
920,0.339426,0.338938,0.337852,0.223197
921,0.340119,0.339634,0.337928,0.223096
922,0.340847,0.340344,0.337977,0.223005
923,0.341559,0.341047,0.338133,0.222868
924,0.342281,0.341749,0.33826,0.222712
925,0.343021,0.342479,0.338361,0.222555
926,0.343785,0.343257,0.338472,0.222411
927,0.344592,0.344034,0.338575,0.222271
928,0.345357,0.344814,0.338674,0.222142
929,0.34609,0.345589,0.338773,0.222032
930,0.346891,0.346346,0.338872,0.221948
931,0.347681,0.347122,0.338954,0.221845
932,0.348468,0.347915,0.339056,0.22173
933,0.349283,0.348722,0.339205,0.221617
934,0.350159,0.349569,0.339333,0.22149
935,0.35103,0.350399,0.339481,0.22139
936,0.351903,0.351241,0.339633,0.2213
937,0.352827,0.352179,0.339751,0.221175
938,0.353703,0.353071,0.339883,0.221042
939,0.354586,0.353958,0.34001,0.220919
940,0.35552,0.354881,0.340136,0.220817
941,0.356477,0.355844,0.340347,0.220743
942,0.357415,0.35676,0.34049,0.220668
943,0.358338,0.357637,0.340611,0.220564
944,0.359269,0.358522,0.340803,0.220423
945,0.360241,0.359435,0.340918,0.220335
