dataset_source,phase,type,wt_pct,wavelength_(nm),mms1,mms2,jsc_mars-1,mgs-1_prototype,temperature_(¡c),m/z_18_(h2o),m/z_32_(o2),m/z_44_(co2),m/z_64_(so2),mass_(%),diameter_(microns),%_retained,%_channel
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Plagioclase,Crystalline,27.1,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Pyroxene,Crystalline,20.3,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Olivine,Crystalline,13.7,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Magnetite,Crystalline,1.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Hematite,Crystalline,1.1,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Anhydrite,Crystalline,0.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Quartz,Crystalline,0.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Ilmenite,Crystalline,0.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Basaltic Glass,Amorphous,22.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Hydrated Silica (Opal),Amorphous,5.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Mg-sulfate,Amorphous,4.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Ferrihydrite,Amorphous,1.7,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Fe-carbonate,Amorphous,1.4,,,,,,,,,,,,,,
fig4_spectralData.csv,,,,445.0,0.0899123,0.0867812,0.0328705,0.105026,,,,,,,,,
fig4_spectralData.csv,,,,446.0,0.0901287,0.0868849,0.0332139,0.105339,,,,,,,,,
fig4_spectralData.csv,,,,447.0,0.0903595,0.0869999,0.0334542,0.105784,,,,,,,,,
fig4_spectralData.csv,,,,448.0,0.0906179,0.0871318,0.0336933,0.106197,,,,,,,,,
fig4_spectralData.csv,,,,449.0,0.0909029,0.0872809,0.0340249,0.106417,,,,,,,,,
fig4_spectralData.csv,,,,450.0,0.0911927,0.087427,0.034244,0.106748,,,,,,,,,
fig4_spectralData.csv,,,,451.0,0.0914577,0.0875455,0.0345474,0.107084,,,,,,,,,
fig4_spectralData.csv,,,,452.0,0.0916977,0.0876407,0.034956,0.107383,,,,,,,,,
fig4_spectralData.csv,,,,453.0,0.0919492,0.0877514,0.0351585,0.107729,,,,,,,,,
fig4_spectralData.csv,,,,454.0,0.0921958,0.0878761,0.0354022,0.108056,,,,,,,,,
fig4_spectralData.csv,,,,455.0,0.0924356,0.0880025,0.0356847,0.108383,,,,,,,,,
fig4_spectralData.csv,,,,456.0,0.0926748,0.0881155,0.0359067,0.10875,,,,,,,,,
fig4_spectralData.csv,,,,457.0,0.0929379,0.0882579,0.0360965,0.109031,,,,,,,,,
fig4_spectralData.csv,,,,458.0,0.0931738,0.0883649,0.0362942,0.109289,,,,,,,,,
fig4_spectralData.csv,,,,459.0,0.0933596,0.088409,0.0365136,0.109578,,,,,,,,,
fig4_spectralData.csv,,,,460.0,0.0935816,0.0885033,0.0366792,0.10985,,,,,,,,,
fig4_spectralData.csv,,,,461.0,0.0937964,0.0886307,0.0369113,0.110167,,,,,,,,,
